paper_id,title,conference,path,accept_reject,accept_type,weighted_mean_overall,score_z_within_venue,score_z_1_10_clipped,score_percentile_within_venue,score_percentile_1_10,normalization_pool_n,decision,venue,dataset,slug
LC2KxRwC3n,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoencoders,iclr2025,iclr-2025-dataset/papers-anonymized/a-is-for-absorption-studying-feature-splitting-and-absorptio_anon.pdf,reject,Reject,7.5714,1.7545,9.4476,0.9759,9.7834,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,a-is-for-absorption-studying-feature-splitting-and-absorptio
xom3YUQfbK,A Language Model based Model Manager,iclr2025,iclr-2025-dataset/papers-anonymized/a-language-model-based-model-manager_anon.pdf,reject,Reject,3.5,-1.6535,1.7797,0.0622,1.5601,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,a-language-model-based-model-manager
PUnD86UEK5,Adam Exploits $\ell_\infty$-geometry of Loss Landscape via Coordinate-wise Adaptivity,iclr2025,iclr-2025-dataset/papers-anonymized/adam-exploits-ell-infty-geometry-of-loss-landscape-via-coord_anon.pdf,accept,Accept (Spotlight),7.3333,1.5552,8.9991,0.9496,9.5466,8726,Accept (Spotlight),ICLR 2025 Spotlight,iclr-2025-dataset,adam-exploits-ell-infty-geometry-of-loss-landscape-via-coord
mBJF0p9yRR,Almost Sure Convergence of Average Reward Temporal Difference Learning,iclr2025,iclr-2025-dataset/papers-anonymized/almost-sure-convergence-of-average-reward-temporal-differenc_anon.pdf,reject,Reject,2.9375,-2.1243,1.0,0.0185,1.1661,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,almost-sure-convergence-of-average-reward-temporal-differenc
GlLXMjW7oF,Benchmarking DNA Sequence Models for Causal Variant Prediction in Human Genetics,iclr2025,iclr-2025-dataset/papers-anonymized/benchmarking-dna-sequence-models-for-causal-variant-predicti_anon.pdf,reject,Reject,4.4118,-0.8903,3.4969,0.194,2.7464,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,benchmarking-dna-sequence-models-for-causal-variant-predicti
F9iHSa1Iz5,Boosting Deductive Reasoning with Step Signals In RLHF,iclr2025,iclr-2025-dataset/papers-anonymized/boosting-deductive-reasoning-with-step-signals-in-rlhf_anon.pdf,reject,Reject,3.4,-1.7372,1.5913,0.0484,1.4353,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,boosting-deductive-reasoning-with-step-signals-in-rlhf
8muemqlnG3,Causal Discovery via Bayesian Optimization,iclr2025,iclr-2025-dataset/papers-anonymized/causal-discovery-via-bayesian-optimization_anon.pdf,accept,Accept (Poster),6.4286,0.7979,7.2953,0.7791,8.0123,8726,Accept (Poster),ICLR 2025 Poster,iclr-2025-dataset,causal-discovery-via-bayesian-optimization
v3XabZsB7j,CNN Variational autoencoders' reconstruction ability of long ECG signals,iclr2025,iclr-2025-dataset/papers-anonymized/cnn-variational-autoencoders-reconstruction-ability-of-long_anon.pdf,reject,Reject,1.9412,-2.9583,1.0,0.0028,1.0253,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,cnn-variational-autoencoders-reconstruction-ability-of-long
cNmu0hZ4CL,Comparing noisy neural population dynamics using optimal transport distances,iclr2025,iclr-2025-dataset/papers-anonymized/comparing-noisy-neural-population-dynamics-using-optimal-tra_anon.pdf,accept,Accept (Oral),8.0,2.1132,10.0,0.9903,9.9123,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,comparing-noisy-neural-population-dynamics-using-optimal-tra
pKMpmbuKnd,Constrained Posterior Sampling: Time Series Generation with Hard Constraints,iclr2025,iclr-2025-dataset/papers-anonymized/constrained-posterior-sampling-time-series-generation-with-h_anon.pdf,reject,Reject,6.5625,0.91,7.5474,0.8208,8.3872,8726,Reject,Submitted to ICLR 2025,iclr-2025-dataset,constrained-posterior-sampling-time-series-generation-with-h
tc90LV0yRL,Cybench: A Framework for Evaluating Cybersecurity Capabilities and Risks of Language Models,iclr2025,iclr-2025-dataset/papers-anonymized/cybench-a-framework-for-evaluating-cybersecurity-capabilitie_anon.pdf,accept,Accept (Oral),8.7273,2.722,10.0,0.9987,9.9881,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,cybench-a-framework-for-evaluating-cybersecurity-capabilitie
WCRQFlji2q,Do I Know This Entity? Knowledge Awareness and Hallucinations in Language Models,iclr2025,iclr-2025-dataset/papers-anonymized/do-i-know-this-entity-knowledge-awareness-and-hallucinations_anon.pdf,accept,Accept (Oral),9.0588,2.9995,10.0,0.9995,9.9954,8726,Accept (Oral),ICLR 2025 Oral,iclr-2025-dataset,do-i-know-this-entity-knowledge-awareness-and-hallucinations
